# cond	sample_id	pool	bam_file	fastq_file	gtf	count
B100K0	B31	NA	NA	NA	/storage/gge/Alejandro/for_fabian/paper_stuff/mandalorion_isoseq_run1_data/mandalorion/isoform_detection/B100K0/B31/B31_Isoforms.filtered.clean.gtf	NA
B100K0	B32	NA	NA	NA	/storage/gge/Alejandro/for_fabian/paper_stuff/mandalorion_isoseq_run1_data/mandalorion/isoform_detection/B100K0/B32/B32_Isoforms.filtered.clean.gtf	NA
B100K0	B33	NA	NA	NA	/storage/gge/Alejandro/for_fabian/paper_stuff/mandalorion_isoseq_run1_data/mandalorion/isoform_detection/B100K0/B33/B33_Isoforms.filtered.clean.gtf	NA
B100K0	B34	NA	NA	NA	/storage/gge/Alejandro/for_fabian/paper_stuff/mandalorion_isoseq_run1_data/mandalorion/isoform_detection/B100K0/B34/B34_Isoforms.filtered.clean.gtf	NA
B100K0	B35	NA	NA	NA	/storage/gge/Alejandro/for_fabian/paper_stuff/mandalorion_isoseq_run1_data/mandalorion/isoform_detection/B100K0/B35/B35_Isoforms.filtered.clean.gtf	NA
B0K100	K31	NA	NA	NA	/storage/gge/Alejandro/for_fabian/paper_stuff/mandalorion_isoseq_run1_data/mandalorion/isoform_detection/B0K100/K31/K31_Isoforms.filtered.clean.gtf	NA
B0K100	K32	NA	NA	NA	/storage/gge/Alejandro/for_fabian/paper_stuff/mandalorion_isoseq_run1_data/mandalorion/isoform_detection/B0K100/K32/K32_Isoforms.filtered.clean.gtf	NA
B0K100	K33	NA	NA	NA	/storage/gge/Alejandro/for_fabian/paper_stuff/mandalorion_isoseq_run1_data/mandalorion/isoform_detection/B0K100/K33/K33_Isoforms.filtered.clean.gtf	NA
B0K100	K34	NA	NA	NA	/storage/gge/Alejandro/for_fabian/paper_stuff/mandalorion_isoseq_run1_data/mandalorion/isoform_detection/B0K100/K34/K34_Isoforms.filtered.clean.gtf	NA
B0K100	K35	NA	NA	NA	/storage/gge/Alejandro/for_fabian/paper_stuff/mandalorion_isoseq_run1_data/mandalorion/isoform_detection/B0K100/K35/K35_Isoforms.filtered.clean.gtf	NA
