data_type,tissue,algorithm,strategy,entry,elapsed,reqcpus,maxrss,totalcpu
ONT,brain,ISOQUANT,Call&Join,summary,0 days 05:40:51,16,7104424,0 days 16:10:55.329000
ONT,kidney,ISOQUANT,Call&Join,summary,0 days 04:42:31,16,7238704,0 days 22:46:38.536000
ONT,brain,ISOQUANT,Join&Call,summary,0 days 08:33:23,16,23071828,0 days 15:17:16
ONT,kidney,ISOQUANT,Join&Call,summary,0 days 08:01:09,16,25422164,0 days 10:03:01
ONT,brain,FLAIR,Call&Join,summary,0 days 01:55:23,16,7675912,0 days 15:53:35.424000
ONT,kidney,FLAIR,Call&Join,summary,0 days 01:37:23,16,7383992,0 days 13:36:13.372000
ONT,brain,FLAIR,Join&Call,summary,1 days 16:53:25,2,4383236,3 days 16:24:40.697000
ONT,kidney,FLAIR,Join&Call,summary,1 days 19:49:07,2,4099716,4 days 02:16:41.915000
ONT,brain,bambu,Call&Join,summary,0 days 00:49:28,16,11014668,0 days 00:52:47.956000
ONT,kidney,bambu,Call&Join,summary,0 days 00:55:46,16,8549316,0 days 00:57:19.529000
ONT,brain,bambu,Join&Call,summary,0 days 00:32:19,16,40111088,0 days 00:32:52.463000
ONT,kidney,bambu,Join&Call,summary,0 days 00:30:13,16,40845312,0 days 00:30:57.181000
ONT,brain,TALON,Call&Join,summary,0 days 11:53:39,16,21034024,3 days 21:17:10.286000
ONT,kidney,TALON,Call&Join,summary,0 days 12:08:05,16,26845012,5 days 09:53:04.925000
ONT,brain,TALON,Join&Call,summary,0 days 06:49:09,16,89398816,2 days 05:05:07
ONT,kidney,TALON,Join&Call,summary,0 days 07:04:08,16,90215292,2 days 21:45:18
IsoSeq,brain,ISOQUANT,Call&Join,summary,0 days 03:01:21,16,3337452,0 days 19:43:37.696000
IsoSeq,kidney,ISOQUANT,Call&Join,summary,0 days 02:26:57,16,4774912,0 days 18:15:27.067000
IsoSeq,brain,ISOQUANT,Join&Call,summary,0 days 06:00:10,16,8265852,0 days 22:48:34
IsoSeq,kidney,ISOQUANT,Join&Call,summary,0 days 05:10:34,16,15795916,0 days 23:18:43
IsoSeq,brain,FLAIR,Call&Join,summary,0 days 09:55:51,16,7220364,5 days 02:15:41.765000
IsoSeq,kidney,FLAIR,Call&Join,summary,0 days 10:05:46,16,6976076,5 days 06:18:27.110000
IsoSeq,brain,FLAIR,Join&Call,summary,4 days 20:16:13,2,6514292,10 days 12:59:14.169000
IsoSeq,kidney,FLAIR,Join&Call,summary,2 days 23:11:21,2,5260780,7 days 22:22:57.095000
IsoSeq,brain,bambu,Call&Join,summary,0 days 01:13:45,16,10372904,0 days 01:16:55.140000
IsoSeq,kidney,bambu,Call&Join,summary,0 days 00:54:50,16,10075064,0 days 00:57:31.800000
IsoSeq,brain,bambu,Join&Call,summary,0 days 00:54:49,16,34447344,0 days 00:55:59.252000
IsoSeq,kidney,bambu,Join&Call,summary,0 days 00:46:35,16,37938484,0 days 00:47:53.033000
IsoSeq,brain,TALON,Call&Join,summary,0 days 12:07:43,16,50907668,6 days 09:06:14.766000
IsoSeq,kidney,TALON,Call&Join,summary,0 days 12:42:22,16,52101528,6 days 12:30:43.507000
IsoSeq,brain,TALON,Join&Call,summary,0 days 13:15:46,16,216431516,6 days 18:55:59
IsoSeq,kidney,TALON,Join&Call,summary,0 days 10:26:35,16,229135400,5 days 05:20:24
IsoSeq,brain,MANDALORION,Call&Join,summary,16 days 16:38:41,16,27464744,5 days 19:41:07.475000
IsoSeq,kidney,MANDALORION,Call&Join,summary,18 days 01:04:51,16,27787508,4 days 21:31:20.262000
IsoSeq,brain,MANDALORION,Join&Call,summary,1 days 03:30:01,16,116793204,10 days 06:11:09
IsoSeq,kidney,MANDALORION,Join&Call,summary,0 days 20:01:25,16,113960856,8 days 14:50:26
IsoSeq,brain,ISOSEQ,Call&Join,summary,0 days 05:32:58,16,30490716,2 days 16:42:15.658000
IsoSeq,kidney,ISOSEQ,Call&Join,summary,0 days 03:11:12,16,33271724,1 days 11:03:04.004000
IsoSeq,brain,ISOSEQ,Join&Call,summary,0 days 07:18:45,16,32510372,3 days 12:01:42
IsoSeq,kidney,ISOSEQ,Join&Call,summary,0 days 09:15:09,16,33183392,2 days 15:13:17.620000
